Jogo,Evento,Casa,Fora
São Bento 0 x 2 Audax,Posse de bola,44,56
São Bento 0 x 2 Audax,Gols,0,2
São Bento 0 x 2 Audax,Chutes no gol,1,5
São Bento 0 x 2 Audax,Chutes pra fora,1,5
São Bento 0 x 2 Audax,Escanteios,0,2
São Bento 0 x 2 Audax,Faltas,4,2
São Bento 0 x 2 Audax,Cartões amarelos,0,0
São Bento 0 x 2 Audax,Cartões vermelhos,0,0
São Bento 0 x 2 Audax,Impedimentos,0,1
São Bento 1 x 2 SKA,Posse de bola,47,53
São Bento 1 x 2 SKA,Gols,1,2
São Bento 1 x 2 SKA,Chutes no gol,2,8
São Bento 1 x 2 SKA,Chutes pra fora,3,4
São Bento 1 x 2 SKA,Escanteios,1,3
São Bento 1 x 2 SKA,Faltas,5,11
São Bento 1 x 2 SKA,Cartões amarelos,0,1
São Bento 1 x 2 SKA,Cartões vermelhos,0,0
São Bento 1 x 2 SKA,Impedimentos,1,5
