Event,Minute,Second,Team,Player,Type,SubType,Timestamp,Observation,Evento,Count,Jogo
Passe,0,0,São Bento,#9 Rafael,Certo,Curto,2025-06-17 03:11:47.439458,,Passe Certo Curto,1,São Bento 0 x 2 Audax
Passe,0,0,São Bento,#5 Hadrian,Certo,Curto,2025-06-17 03:11:57.470404,,Passe Certo Curto,1,São Bento 0 x 2 Audax
Passe,0,0,São Bento,#5 Hadrian,Certo,Longo,2025-06-17 03:12:04.572750,,Passe Certo Longo,1,São Bento 0 x 2 Audax
Passe,0,0,São Bento,#9 Rafael,Errado,Curto,2025-06-17 03:12:19.440823,,Passe Errado Curto,1,São Bento 0 x 2 Audax
Passe,0,0,São Bento,#8 Samir,Certo,Curto,2025-06-17 03:13:05.593760,,Passe Certo Curto,1,São Bento 0 x 2 Audax
Falta,0,0,São Bento,#8 Samir,Sofrida,,2025-06-17 03:13:09.972928,,Falta Sofrida ,1,São Bento 0 x 2 Audax
Defesa,0,0,São Bento,#6 Antônio,Recuperação,,2025-06-17 03:13:31.348266,,Defesa Recuperação ,1,São Bento 0 x 2 Audax
Finalização,0,0,São Bento,#5 Hadrian,Fora do Alvo,,2025-06-17 03:14:43.497344,,Finalização Fora do Alvo ,1,São Bento 0 x 2 Audax
Passe,0,0,São Bento,#6 Antônio,Certo,Curto,2025-06-17 03:15:01.614426,,Passe Certo Curto,1,São Bento 0 x 2 Audax
Perda de Posse,0,0,São Bento,#2 Pedro Antonio,,,2025-06-17 03:15:06.577209,,Perda de Posse  ,1,São Bento 0 x 2 Audax
Falta,0,0,São Bento,#2 Pedro Antonio,Cometida,,2025-06-17 03:15:18.104560,,Falta Cometida ,1,São Bento 0 x 2 Audax
Passe,0,0,São Bento,#2 Pedro Antonio,Certo,Curto,2025-06-17 03:15:43.410376,,Passe Certo Curto,1,São Bento 0 x 2 Audax
Passe,0,0,São Bento,#16 Gabriel,Certo,Curto,2025-06-17 03:15:56.992430,,Passe Certo Curto,1,São Bento 0 x 2 Audax
Passe,0,0,São Bento,#4 Theo,Certo,Curto,2025-06-17 03:16:12.344941,,Passe Certo Curto,1,São Bento 0 x 2 Audax
Passe,0,0,São Bento,#5 Hadrian,Certo,Curto,2025-06-17 03:17:16.872948,,Passe Certo Curto,1,São Bento 0 x 2 Audax
Passe,0,0,São Bento,#5 Hadrian,Errado,Longo,2025-06-17 03:17:23.359447,,Passe Errado Longo,1,São Bento 0 x 2 Audax
Passe,0,0,São Bento,#9 Rafael,Certo,Curto,2025-06-17 03:17:48.567602,,Passe Certo Curto,1,São Bento 0 x 2 Audax
Perda de Posse,0,0,São Bento,#11 Lucas,,,2025-06-17 03:17:58.031726,,Perda de Posse  ,1,São Bento 0 x 2 Audax
Passe,0,0,São Bento,#5 Hadrian,Certo,Curto,2025-06-17 03:18:26.203222,,Passe Certo Curto,1,São Bento 0 x 2 Audax
Perda de Posse,0,0,São Bento,#6 Antônio,,,2025-06-17 03:18:31.055735,,Perda de Posse  ,1,São Bento 0 x 2 Audax
Passe,0,0,São Bento,#10 Mateus,Certo,Curto,2025-06-17 03:18:51.929723,,Passe Certo Curto,1,São Bento 0 x 2 Audax
Drible,0,0,São Bento,#19 Guilherme,Certo,,2025-06-17 03:19:13.145403,,Drible Certo ,1,São Bento 0 x 2 Audax
Defesa,0,0,São Bento,#5 Hadrian,Corte,,2025-06-17 03:19:42.114290,,Defesa Corte ,1,São Bento 0 x 2 Audax
Falta,0,0,São Bento,#11 Lucas,Sofrida,,2025-06-17 03:20:22.332777,,Falta Sofrida ,1,São Bento 0 x 2 Audax
Defesa,0,0,São Bento,#11 Lucas,Desarme,,2025-06-17 03:20:35.870309,,Defesa Desarme ,1,São Bento 0 x 2 Audax
Passe,0,0,São Bento,#1 Kalleb,Certo,Longo,2025-06-17 03:21:10.601615,,Passe Certo Longo,1,São Bento 0 x 2 Audax
